id,현재가,전일비,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,label
0,2351.703,116.656,500.0,832.124,35392.0,1.658,2706392.61,19.116,6.5,0
1,11687.402,51.515,0.0,304.111,2600.0,0.49,50847.441,,,0
2,3100.0,0.0,500.0,969.0,31257.0,0.37,0.0,7.088,18.71,1
3,9408.961,254.445,0.0,292.195,3105.573,1.905,132966.463,,,0
4,2226.067,114.968,100.0,605.343,27191.0,2.551,522215.695,,,2
5,9537.117,1554.522,500.0,2787.4,29229.0,3.157,3966153.435,12.102,8.42,0
6,5800.227,29.685,0.0,35.0,600.0,0.0,4191.53,,,2
7,7289.331,139.647,1000.0,2703.046,37080.0,3.179,319456.276,11.161,7.25,0
8,7400.236,202.07,0.0,74.223,1000.0,0.0,42050.391,,,0
9,52358.467,204.366,0.0,66.0,126.0,0.0,135.948,,,0
10,57547.857,1128.928,500.0,7278.465,12648.0,2.815,137816.287,-34.814,-96.66,0
11,28862.718,29.436,500.0,3339.272,11569.0,9.65,5778.938,9.825,8.4,0
12,2842.126,66.569,500.0,2545.969,89594.0,8.828,436578.239,15.786,37.7,2
13,109509.855,246.573,0.0,246.254,225.0,0.0,92.589,,,2
14,14936.582,76.749,500.0,3275.048,21929.0,0.741,7736.293,-48.027,-1.83,0
15,10089.227,139.705,0.0,50.111,500.0,0.0,4529.544,,,0
16,18139.34,93.798,1000.0,2124.823,11715.0,2.602,11750.679,7.958,8.57,2
17,44113.418,66.718,5000.0,3974.708,9011.0,19.119,4174.978,5.346,9.03,2
18,88380.417,1831.037,5000.0,23172.863,26220.0,26.209,117598.389,5.06,11.5,0
19,15173.298,730.184,0.0,151.923,1000.0,0.0,536.945,,,0
20,170433.128,300.616,5000.0,72903.356,42775.0,24.039,31575.429,99.73,0.43,0
21,3712.161,25.505,1000.0,4330.084,116640.0,1.15,396523.797,-2.118,-116.96,2
22,1410.083,5.48,500.0,289.223,20493.0,1.786,30872.375,15.329,4.02,0
23,6873.973,10.66,5000.0,11626.754,169146.0,44.051,195366.796,2.893,7.38,0
24,17060.691,131.538,500.0,1200.369,7037.0,1.254,3898.594,11.113,8.19,0
25,2902.998,33.571,500.0,921.788,31755.0,0.87,9666.035,-9.099,-25.5,2
26,83782.909,817.886,1000.0,59735.231,71298.0,7.042,462862.95,-201.399,-1.35,2
27,4910.173,22.056,100.0,2145.181,43693.0,4.058,33278.811,8.389,11.79,0
28,109654.019,147.727,100.0,204929.015,186887.0,17.828,125312.612,10.115,7.16,0
29,10023.947,0.0,0.0,100.223,1000.0,0.0,0.0,,,1
30,13382.77,118.465,500.0,2501.857,18697.0,3.749,12343.406,17.157,6.39,2
31,2608.988,47.684,500.0,456.432,17482.0,2.649,40732.265,-7.434,-4.61,0
32,2914.2,21.46,100.0,773.871,26561.0,0.497,114654.658,,23.04,2
33,6493.313,55.542,500.0,714.22,11000.0,0.742,7346.433,6.044,14.63,2
34,9421.241,106.349,0.0,197.777,2100.0,0.0,124772.429,,,2
35,16632.794,400.796,500.0,2662.898,16010.0,1.96,143137.741,-47.121,-22.44,0
36,4566.344,73.031,500.0,373.063,8164.0,1.096,32020.207,-7.765,-22.86,2
37,49727.863,138.855,5000.0,1491.78,3000.0,3.66,550.196,9.876,3.67,0
38,2138.728,1.272,0.0,1710.983,80020.0,0.0,17363.309,,,0
39,6275.817,55.328,0.0,88.0,1400.0,0.31,1101.261,,,0
40,5731.115,13.344,500.0,2876.669,50200.0,76.512,14118.278,-18.974,-2.38,2
41,1090.726,180.178,500.0,271.193,24849.0,0.487,6242815.929,-9.485,-7.56,0
42,64523.962,2253.748,500.0,6424.285,9957.0,14.879,61788.843,14.592,52.53,0
43,12223.973,122.714,500.0,1244.397,10184.0,1.351,5040.553,10.171,11.72,0
44,7644.913,15.573,5000.0,884.491,11571.0,7.74,12052.094,1.947,6.49,0
45,5046.224,99.583,0.0,857.833,17000.0,0.05,702915.412,,,2
46,837.85,10.819,500.0,623.895,74440.0,2.578,94998.881,-4.711,-13.52,0
47,16401.348,761.348,1000.0,1964.038,11975.0,1.721,300886.194,15.984,12.07,2
48,47550.173,155.9,500.0,3729.759,7844.0,12.44,5571.018,25.914,2.9,2
49,24649.836,169.126,0.0,108.366,440.0,0.0,42.165,,,0
50,1237.24,10.314,500.0,957.986,77457.0,2.476,113124.215,41.241,4.37,0
51,6085.336,115.336,500.0,481.122,7904.0,0.621,13526.708,-51.571,-1.85,2
52,7626.429,36.388,0.0,640.254,8400.0,0.433,32914.057,,,0
53,3431.773,84.899,500.0,545.909,15905.0,2.418,54938.332,-10.212,-10.44,0
54,626.728,2.432,500.0,685.728,109472.0,1.189,318254.371,1.287,48.59,0
55,147032.073,754.672,100.0,56323.84,38307.0,12.621,98248.582,12.751,60.4,2
56,4350.085,75.456,500.0,405.826,9325.0,1.713,31635.124,-25.289,-2.44,0
57,61838.944,806.562,500.0,35897.699,58050.0,4.653,630320.542,-112.637,-24.34,0
58,20886.797,298.28,0.0,260.812,1250.0,0.0,1091.246,,,0
59,5998.446,82.142,0.0,120.111,2000.0,0.0,7880.727,,,0
60,11035.0,5.573,0.0,221.0,2000.0,0.0,0.223,,,2
61,16585.903,44.716,0.0,209.111,1260.0,0.593,3393.872,,,0
62,51389.163,900.0,5000.0,12025.953,23402.0,22.273,93053.274,8.344,3.2,0
63,5642.264,76.653,500.0,880.578,15610.0,1.152,18078.9,13.594,8.53,0
64,130.157,10.715,0.0,195.109,150000.0,0.0,2470312.795,,,2
65,9453.046,22.872,0.0,132.366,1400.0,0.0,6759.259,,,0
66,8298.39,142.167,0.0,145.334,1750.0,0.82,200.455,,,0
67,10949.827,781.35,500.0,317.961,2904.0,2.537,153230.146,,,0
68,7066.089,144.004,1000.0,3832.682,54244.0,4.606,737656.459,59.378,1.62,0
69,9666.136,65.084,500.0,1219.136,12615.0,0.533,17522.605,18.136,14.75,2
70,7589.34,51.569,500.0,1571.868,20712.0,0.538,23439.131,13.7,8.19,2
71,2217.614,17.386,100.0,112.889,5080.0,0.08,10429.384,-184.801,,0
72,4660.002,27.212,1000.0,1711.969,36745.0,2.06,17738.578,3.355,19.41,0
73,9981.084,76.099,0.0,299.666,3000.0,0.0,127248.533,,,2
74,3601.099,61.099,500.0,2255.548,62638.0,1.79,392395.386,-105.915,-1.56,2
75,5227.945,79.06,500.0,637.049,12189.0,1.159,11345.462,-11.006,-2.84,2
76,10283.171,1.829,0.0,15379.439,149560.0,0.0,29790.098,,,0
77,11871.646,192.843,0.0,2445.441,20600.0,0.0,39199.36,,,0
78,101400.557,8.344,0.0,2160.0,2130.0,0.0,2414751.434,,,2
79,10250.087,6.759,0.0,51.0,500.0,0.0,72.576,,,2
80,2176.484,60.926,500.0,3023.189,138892.0,5.067,400881.537,-725.494,-0.21,2
81,4935.54,24.734,0.0,1186.854,24053.0,79.98,3527.82,-30.653,-11.93,2
82,14330.625,315.299,0.0,143.3,1000.0,0.0,29747.498,,,2
83,306.0,0.0,100.0,225.0,73583.0,7.88,0.0,-0.94,-27.86,1
84,6488.431,19.371,500.0,1594.163,24573.0,5.588,29634.541,6.198,9.08,0
85,3734.124,72.083,100.0,1227.009,32854.0,0.683,494558.708,-69.152,-7.6,0
86,10044.67,42.472,0.0,500.774,4988.855,0.458,26260.393,,,2
87,11682.195,30.065,0.0,116.746,1000.0,0.0,79.752,,,0
88,107000.0,33.436,5000.0,2573.0,2404.0,18.523,8381.027,4.02,,0
89,1826.459,26.761,500.0,1264.55,69238.0,3.117,241832.49,5.058,10.31,0
90,13220.205,56.482,500.0,745.066,5636.0,0.806,8639.908,10.075,15.43,0
91,101456.272,6.829,0.0,6244.0,6154.0,0.0,9854.929,,,2
92,2667.872,66.06,0.0,106.969,4000.0,0.0,119004.555,,,0
93,7022.373,47.976,500.0,913.269,13000.0,1.147,143832.574,14.876,12.43,2
94,21151.027,310.118,500.0,4181.094,19768.0,5.069,56838.942,8.942,15.55,0
95,2831.306,75.984,100.0,153.129,5410.0,1.503,535255.407,2831.306,0.07,0
96,3092.978,24.32,200.0,1335.177,43173.0,2.496,473316.998,9.633,27.16,2
97,11121.713,110.752,500.0,4466.685,40161.0,25.001,91304.307,12.783,19.35,2
98,2632.786,13.901,500.0,1316.337,49986.0,1.582,151247.588,-27.71,-4.0,0
99,2291.185,7.386,1000.0,1298.965,56702.0,1.33,14322.661,40.194,0.85,0
100,13015.727,336.595,100.0,1964.47,15095.0,0.101,83524.97,72.31,62.77,0
101,3856.186,8.101,500.0,1072.412,27811.0,1.144,38425.826,6.791,18.72,0
102,15117.709,163.282,500.0,3320.207,21965.0,14.454,69812.612,10.344,13.59,2
103,1301.413,20.376,500.0,580.229,44600.0,2.722,162736.039,-2.261,-49.39,0
104,2253.901,33.328,100.0,1102.895,48948.0,0.852,243612.421,50.087,1.7,0
105,4353.654,90.263,500.0,898.097,20628.0,1.12,26563.055,-6.87,-26.44,0
106,16934.462,78.92,500.0,1270.049,7500.0,9.61,4098.814,6.087,11.18,2
107,105581.471,741.128,500.0,9961.001,9435.0,13.229,6770.034,17.802,2.89,0
108,2089.388,36.726,500.0,961.344,46029.0,3.917,177300.553,38.694,4.94,0
109,3161.082,22.732,500.0,2614.5,82708.0,12.633,96507.57,15.882,12.71,2
110,14049.231,48.029,0.0,70.0,500.0,0.0,13.77,,,0
111,2096.586,9.058,100.0,163.397,7800.0,0.0,11604.932,91.158,,0
112,22796.348,857.802,0.0,227.997,1000.0,0.0,958.93,,,2
113,10628.617,123.627,0.0,80.111,750.0,0.0,449.874,,,0
114,4177.214,4.458,500.0,671.554,16071.0,2.192,53558.201,4.007,13.85,2
115,44434.238,807.454,500.0,2743.608,6175.0,8.874,485883.152,,-36.75,2
116,18228.362,189.625,5000.0,2411.707,13229.0,7.697,42061.196,3.065,19.83,0
117,19695.907,580.981,0.0,98.477,500.0,0.0,2592.95,,,0
118,10534.804,85.227,500.0,6142.659,58305.0,8.938,106530.163,-554.46,-0.15,0
119,1130.718,5.948,500.0,544.986,48225.0,3.363,65681.723,5.627,16.96,0
120,1681.045,22.962,500.0,498.941,29686.0,0.0,111725.487,-2.802,-30.97,0
121,13142.895,158.647,500.0,40.509,309.0,0.0,94.191,-730.158,,2
122,11122.714,47.173,500.0,1143.271,10276.0,2.841,14599.363,5.422,36.19,2
123,74080.892,1425.782,500.0,31241.006,42171.0,11.342,232482.198,-3220.907,-0.11,2
124,8894.222,116.513,500.0,1451.656,16323.0,1.77,93493.595,5.456,22.15,2
125,11337.944,18.728,0.0,1576.223,13900.0,0.053,19888.195,,,0
126,1516.618,20.63,500.0,435.439,28705.0,2.632,231661.575,28.613,3.39,2
127,3440.802,9.373,1000.0,1925.227,55956.0,0.981,31904.779,35.471,2.02,2
128,9381.414,73.132,0.0,112.889,1200.0,0.0,1110.661,,,2
129,2623.311,24.528,500.0,102.634,3913.0,0.35,4537.102,131.166,,2
130,5398.414,28.289,0.0,1703.397,31550.0,1.647,208038.024,,,0
131,13735.39,232.443,0.0,5645.49,41100.0,0.861,199336.229,,,0
132,104520.268,216.429,0.0,592.0,566.111,0.0,741.574,,,2
133,1042.666,13.701,500.0,678.736,65124.0,1.413,524112.357,5.545,23.63,2
134,10181.906,204.224,0.0,61.111,600.0,0.0,56.334,,,0
135,8004.967,570.513,500.0,714.671,8932.0,1.144,743117.032,,,0
136,6794.664,77.596,500.0,917.278,13500.0,0.541,70547.317,18.023,6.06,0
137,3889.561,64.34,500.0,785.024,20191.0,0.701,96716.956,6.777,8.03,0
138,20513.033,404.289,0.0,410.672,2000.0,0.0,70.195,,,0
139,102569.443,13.344,0.0,457.0,446.0,0.0,368.837,,,2
140,11107.958,302.509,500.0,11301.147,101741.0,4.753,780438.023,-20.644,-22.57,2
141,1111.097,12.587,100.0,380.651,34263.0,0.617,142936.937,-7.264,-34.81,0
142,10219.662,174.812,0.0,80.111,780.0,0.0,11328.978,,,0
143,74034.257,2101.129,5000.0,12773.409,17254.0,14.418,53415.074,7.602,9.11,2
144,21384.29,527.009,500.0,2061.46,9640.0,3.688,92534.385,20.842,24.93,0
145,1289.485,19.151,500.0,365.077,28291.0,0.629,63672.336,-2.733,-44.15,2
146,24891.378,412.104,0.0,637.003,2560.0,0.0,5595.266,,,0
147,105442.244,0.0,0.0,53.0,50.0,0.0,0.0,,,1
148,6146.656,28.328,0.0,122.889,2000.0,0.0,17.443,,,2
149,1070.641,5.694,100.0,444.209,41486.0,6.873,46513.263,33.46,3.6,0
150,7950.633,37.631,500.0,925.095,11637.0,5.679,21057.463,17.744,17.97,0
151,4077.976,49.81,5000.0,475.909,11668.0,2.942,45732.874,10.705,4.86,0
152,603.637,7.809,1000.0,405.669,67236.0,3.29,41388.168,-4.344,-9.03,0
153,9795.542,41.672,0.0,195.889,2000.0,0.0,39.458,,,2
154,9119.185,72.559,0.0,2210.742,24244.273,0.746,860584.047,,,2
155,8348.901,18.885,0.0,417.223,5000.0,0.0,17.152,,,0
156,8514.649,264.711,500.0,612.214,7189.0,1.323,26816.07,26.281,8.36,2
157,9017.211,41.918,500.0,1853.442,20551.0,0.62,61185.818,35.779,10.23,2
158,3461.445,29.113,500.0,503.812,14545.0,2.347,43415.977,10.27,6.94,0
159,10441.491,157.983,0.0,312.331,2988.855,5.171,37192.486,,,0
160,396.0,0.0,500.0,313.0,79139.0,1.72,0.0,-10.15,-12.92,1
161,54287.763,879.109,500.0,7600.287,14000.0,23.124,56368.748,17.749,3.58,0
162,8876.484,59.858,0.0,88.889,1000.0,0.0,1787.026,,,2
163,13836.147,97.212,0.0,1743.275,12600.0,0.0,46.36,,,0
164,12688.815,61.137,0.0,89.0,700.0,0.0,9.849,,,0
165,34280.309,347.554,500.0,42464.583,123875.0,37.791,117756.882,6.152,8.14,0
166,7425.4,29.615,0.0,59.111,800.0,0.0,5328.821,,,0
167,2705.542,44.985,500.0,1915.879,70806.0,0.96,35770.084,11.001,5.25,2
168,40000.308,927.709,500.0,1551.901,3880.0,0.79,25650.49,-63.289,-396.49,0
169,7606.263,109.34,500.0,3330.54,43785.0,2.053,134427.698,8.287,16.16,0
170,10105.588,63.328,0.0,666.78,6600.0,0.0,494483.46,,,0
171,15885.122,68.383,500.0,2829.404,17810.0,4.162,179621.602,11.486,12.27,2
172,4677.491,33.879,2500.0,1253.627,26796.0,0.731,1150762.251,-4.667,-29.02,2
173,7459.138,37.002,1000.0,941.245,12617.0,4.171,930885.775,-9.512,,2
174,181.585,2.955,0.0,336.425,185263.0,0.0,4387096.392,-0.277,-25.02,0
175,10867.402,30.4,0.0,147.0,1350.0,0.0,822.077,,,0
176,8022.998,25.227,200.0,1651.6,20588.0,0.341,9575.693,8.003,12.89,2
177,11437.556,85.787,500.0,158.732,1389.0,1.246,2824.215,12.231,,0
178,25432.89,822.991,500.0,3511.127,13805.0,9.079,402894.19,57.41,16.49,0
179,19442.643,147.976,0.0,972.16,5000.0,0.661,454073.093,,,0
180,4597.091,18.205,5000.0,1586.073,34500.0,1.44,12793.802,-1.968,-19.0,2
181,11727.979,645.673,500.0,1334.404,11380.0,1.142,352075.315,-21.88,-10.74,0
182,3147.701,27.144,500.0,3468.844,110203.0,6.119,53541.377,-65.575,-0.71,2
183,4031.446,22.004,5000.0,1823.342,45235.0,1.632,113832.015,-15.333,-2.12,2
184,5570.52,49.48,500.0,723.784,12997.0,5.449,9651.364,-71.413,-0.51,0
185,2007.614,5.957,500.0,6407.729,319177.0,6.262,239213.172,4.065,11.21,2
186,13399.809,24.773,500.0,39.111,295.0,0.17,107.651,39.647,,0
187,7561.255,48.745,500.0,4654.753,61563.0,11.399,46982.131,27.899,2.48,0
188,5638.96,71.88,500.0,1501.897,26632.0,0.0,120728.122,-22.199,-18.4,2
189,10482.574,7.002,500.0,4083.918,38958.0,3.923,36141.312,6.428,6.79,2
190,15999.183,236.42,500.0,1885.587,11784.0,1.789,22006.996,11.463,9.98,0
191,5458.605,27.771,500.0,1255.341,23000.0,2.549,12864.117,9.101,8.55,0
192,23755.634,0.0,0.0,1425.56,6000.0,0.0,0.0,,,1
193,8753.815,375.053,500.0,1292.752,14766.517,3.443,172866.371,47.067,6.38,2
194,26175.128,919.556,2500.0,1436.065,5486.0,1.683,32032.873,-8.595,-10.8,2
195,28385.317,182.017,100.0,8894.521,31336.0,0.592,374436.689,-135.817,-13.25,0
196,12025.727,57.554,0.0,120.366,1000.0,0.0,822.52,,,0
197,6885.34,214.257,500.0,1310.291,19036.0,0.662,141273.712,-7.507,150.62,2
198,2964.633,34.81,100.0,163.732,5520.0,1.17,38406.24,134.756,,0
199,14723.218,492.386,500.0,7055.874,47922.0,5.843,867736.679,249.549,1.05,0
200,14081.032,174.633,500.0,1633.295,11600.0,1.811,45928.092,18.429,6.16,0
201,14442.527,244.253,500.0,1425.141,9866.0,2.468,10213.722,4.9,25.0,0
202,28603.127,458.018,500.0,2933.058,10255.0,1.48,21045.289,79.231,2.82,0
203,6318.761,26.255,0.0,44.111,700.0,0.0,333.06,,,0
204,4100.0,0.0,500.0,1509.0,36810.0,0.09,0.0,-13.18,-81.16,1
205,1187.287,25.496,100.0,599.072,50460.0,1.056,63627.757,26.382,5.19,0
206,3652.897,130.73,0.0,201.443,5505.573,3.254,1189764.206,,,2
207,23600.0,138.855,5000.0,790.0,3347.0,4.158,5560.483,1.51,22.73,0
208,41231.896,3212.839,500.0,3869.867,9386.0,0.04,216775.942,25.996,7.3,0
209,10085.949,144.113,500.0,1788.633,17736.0,0.68,90310.371,-5.936,-75.66,0
210,3443.901,45.015,500.0,1377.56,40000.0,3.712,34597.421,6.778,7.47,0
211,13608.636,63.891,0.0,448.174,3294.427,2.594,18180.301,,,0
212,2084.2,50.887,500.0,764.791,36700.0,3.73,423458.869,-130.262,-0.62,2
213,640.0,0.0,500.0,277.0,43209.0,0.56,0.0,-0.4,106.17,1
214,100495.557,6.672,0.0,1185.0,1179.0,0.0,21.922,,,2
215,53114.291,214.291,5000.0,2243.826,4225.0,31.1,886.808,25.175,1.08,2
216,9831.398,78.086,500.0,373.554,3800.0,0.76,2065.601,21.943,4.49,2
217,3020.4,26.829,100.0,840.937,27841.0,40.259,177259.31,8.989,6.75,0
218,2798.415,23.973,500.0,880.969,31475.0,3.35,436493.32,12.166,6.52,2
219,6090.66,12.229,1000.0,2985.33,49019.0,1.33,39853.064,24.563,5.42,0
220,104063.101,6.445,0.0,2556.0,2456.0,0.0,2331.235,,,2
221,21953.482,399.908,0.0,847.783,3860.0,0.06,17332.142,,,0
222,40320.564,48.427,200.0,324.889,806.0,0.34,231.345,24.982,,2
223,1954.147,49.649,500.0,530.895,27181.0,0.0,273717.118,-6.882,-34.21,0
224,7639.458,40.557,0.0,76.111,1000.0,0.0,36.7,,,0
225,7823.433,48.765,0.0,207.254,2650.0,0.0,31879.998,,,0
226,50353.673,320.545,2500.0,2025.147,4022.0,12.59,6660.434,2.793,,2
227,8766.236,134.1,500.0,2280.631,26014.0,10.884,90471.44,250.462,0.82,2
228,904.0,0.0,500.0,192.0,21248.0,1.14,0.0,-1.28,-228.88,1
229,6470.171,98.745,500.0,1211.177,18720.0,0.33,37026.846,22.159,4.46,0
230,812.417,12.028,500.0,339.669,41804.0,0.63,51114.609,-7.322,-18.13,0
231,9957.214,58.947,0.0,99.889,1000.0,0.0,1723.695,,,2
232,12523.576,248.715,500.0,3167.133,25291.0,3.893,219219.398,6.662,23.01,0
233,2369.231,40.227,500.0,1871.385,78990.0,2.739,658136.292,6.887,14.09,0
234,2946.963,125.885,100.0,658.727,22343.0,11.8,618875.594,196.465,3.72,0
235,13092.729,516.434,500.0,2767.214,21134.0,10.962,202604.262,-51.959,-3.63,0
236,15479.937,210.063,0.0,309.812,2000.0,0.0,4.317,,,0
237,9138.424,71.017,0.0,861.809,9437.93,0.0,1482473.91,,,0
238,19624.961,90.596,0.0,314.111,1600.0,0.0,450.049,,,0
239,12185.147,205.456,0.0,4741.173,38911.145,0.509,179080.544,,,0
240,254.0,0.0,500.0,548.0,215901.0,4.991,0.0,-0.51,-51.17,1
241,1067.737,24.266,500.0,551.686,51647.0,1.024,278706.084,35.59,3.75,0
242,10864.856,87.388,0.0,70.746,650.0,0.0,987.92,,,0
243,5369.868,187.732,0.0,438.589,8161.222,0.0,2547823.12,,,2
244,9999.629,108.715,0.0,570.16,5700.0,0.49,212489.903,,,0
245,18650.0,1.115,5000.0,560.0,3000.0,12.38,202.647,5.89,,2
246,1396.746,6.809,500.0,487.0,34895.0,4.076,55779.042,26.355,3.95,0
247,18905.6,145.576,500.0,40446.888,213940.0,18.242,410229.712,35.01,3.47,0
248,1258.343,39.454,100.0,350.76,27887.0,1.96,79817.192,-8.926,-10.3,2
249,19780.562,258.415,0.0,711.86,3600.0,0.28,16305.132,,,0
250,1002.763,1.477,500.0,1002.763,100000.0,0.0,217634.599,20.465,4.13,0
251,7577.88,37.518,500.0,1431.687,18894.0,2.46,22046.402,16.194,,0
252,28115.864,265.864,500.0,1686.952,6000.0,16.29,1617.275,6.756,11.66,2
253,329.62,5.829,500.0,501.557,152184.0,0.484,537091.423,-15.695,-3.72,0
254,11349.34,23.374,100.0,3673.691,32368.0,5.078,27706.899,9.629,21.94,2
255,44651.431,739.419,0.0,89.223,200.0,0.0,866.953,,,0
256,5808.086,15.887,500.0,1691.426,29117.0,0.609,9590.35,-72.597,-0.91,2
257,5203.173,17.631,500.0,657.46,12642.0,1.632,20250.369,24.894,6.31,2
258,5242.056,17.629,0.0,450.889,8600.0,1.569,976938.02,,,2
259,2078.328,13.885,100.0,125.0,6030.0,0.08,13633.262,,,2
260,10306.211,1023.663,0.0,103.115,1000.0,0.0,21823.582,,,0
261,19106.685,840.311,5000.0,6138.743,32129.0,0.871,744298.245,26.913,4.4,0
262,1551.791,7.32,500.0,406.634,26223.0,2.602,42602.231,5.726,6.14,0
263,9210.0,0.0,500.0,712.0,7726.0,0.7,0.0,-9.81,-42.27,1
264,32451.146,314.148,0.0,324.575,1000.0,0.0,1112.469,,,2
265,10055.47,24.355,0.0,2267.84,22550.0,0.591,90721.904,,,2
266,2200.0,0.0,100.0,132.0,6010.0,0.12,0.0,157.14,,1
267,6896.831,94.602,500.0,1600.509,23205.0,5.633,1596725.529,21.689,6.9,2
268,10240.975,38.633,500.0,1830.195,17873.0,0.71,14804.458,83.941,1.09,2
269,11949.883,204.606,500.0,1450.148,12135.0,2.362,140705.552,8.027,26.51,0
270,3118.658,6.445,500.0,6062.951,194414.0,1.252,615836.322,-4.697,-222.35,0
271,13298.449,492.247,0.0,132.7,1000.0,0.0,3577.873,,,0
272,2085.557,1.115,100.0,183.111,8800.0,0.1,12258.263,54.884,,0
273,62416.961,2140.306,5000.0,27712.086,44399.0,23.93,912810.686,4.974,40.73,0
274,3834.332,156.844,0.0,266.337,6955.573,0.109,579129.945,,,0
275,37547.27,2108.765,500.0,3988.894,10623.0,2.348,119651.133,7.734,61.17,0
276,2767.301,27.142,500.0,2343.984,84703.0,1.841,28972.806,-2.15,-29.64,0
277,1338.997,79.78,500.0,3396.601,253669.0,15.703,7607765.949,-2.092,-90.82,2
278,21057.974,1043.313,0.0,210.774,1000.0,0.0,4952.804,,,2
279,8423.359,71.656,0.0,84.111,1000.0,0.0,2.0,,,0
280,4011.969,19.161,500.0,814.394,20307.0,1.812,379051.137,47.197,3.07,0
281,8043.204,60.14,500.0,675.209,8395.0,0.922,12518.088,13.342,9.63,0
282,34401.073,773.364,500.0,3925.704,11412.0,1.411,15637.305,183.96,1.6,2
283,3218.634,72.511,500.0,1120.308,34802.0,6.257,232713.818,7.043,8.19,0
284,44554.173,342.771,1000.0,20921.017,46957.0,22.852,165354.098,21.289,4.78,0
285,15930.958,360.218,500.0,6101.349,38300.0,6.034,1627655.107,2.991,19.81,0
286,9865.18,229.278,500.0,1754.113,17781.0,1.269,115617.403,13.931,10.69,0
287,230372.818,127.182,5000.0,2994.474,1300.0,62.37,676.694,11.205,24.02,0
288,13201.544,532.526,0.0,131.923,1000.0,0.0,525.732,,,0
289,7508.588,14.513,0.0,90.0,1200.0,0.0,2136.954,,,0
290,2454.373,10.07,1000.0,861.749,35120.0,0.0,52530.9,-3.435,-39.73,0
291,1620.0,0.0,500.0,293.0,18078.0,5.04,0.0,-31.76,-1.38,1
292,7278.21,108.256,0.0,72.889,1000.0,0.0,31160.532,,,2
293,13065.52,56.123,0.0,52.0,400.0,0.0,384.735,,,2
294,9705.323,152.509,500.0,900.055,9272.0,4.691,21431.3,12.837,9.03,0
295,55611.145,33.436,5000.0,3922.78,7054.0,6.12,81.6,15.633,,2
296,7743.233,180.157,0.0,427.115,5520.0,0.531,12791.989,,,0
297,7931.178,187.36,500.0,818.372,10316.0,5.698,54259.143,5.443,29.88,0
298,2263.516,37.614,500.0,846.295,37401.0,2.801,498224.233,7.65,14.53,0
299,11900.306,170.916,0.0,119.111,1000.0,0.0,751.252,,,0
300,23062.237,962.237,500.0,3746.369,16245.0,6.671,112846.623,8.272,14.18,2
301,3371.342,7.544,500.0,2606.439,77311.0,2.978,44383.574,9.139,3.23,0
302,7789.734,98.625,0.0,2550.822,32749.538,0.0,377712.701,,,0
303,28794.427,183.282,500.0,919.777,3193.0,12.831,15198.238,15.288,6.08,0
304,32820.275,112.046,0.0,11932.305,36355.573,0.001,152629.462,,,0
305,945.0,0.0,500.0,325.0,34365.0,1.98,0.0,-0.62,-55.04,1
306,6765.294,75.31,0.0,135.491,2000.0,0.0,417.79,,,0
307,37277.509,700.108,1000.0,9771.772,26214.0,1.732,352330.214,30.556,16.54,2
308,135454.019,1070.121,5000.0,39707.808,29314.0,21.386,46954.964,4.371,19.11,0
309,4231.53,44.043,500.0,809.195,19114.0,0.929,38493.133,282.103,0.26,0
310,5513.468,45.743,0.0,44.0,800.0,0.0,1166.983,,,2
311,4588.909,166.2,0.0,45.889,1000.0,0.0,121990.352,,,2
312,21809.572,401.727,500.0,2346.814,10759.0,0.866,711951.298,16.085,27.38,0
313,9820.863,54.771,0.0,98.223,1000.0,0.0,42.325,,,0
314,8618.291,40.625,500.0,775.463,9000.0,1.908,8272.532,3.177,,0
315,2134.215,9.788,0.0,606.986,28429.969,0.044,386653.249,,,0
