ID,x,y
0,24.412,32.932
1,35.19,12.189
2,26.288,41.718
3,0.376,15.506
4,26.116,3.963
5,25.893,31.515
6,23.606,15.402
7,28.026,15.47
8,26.36,34.488
9,23.013,36.213
10,27.819,41.867
11,39.634,42.23
12,35.477,35.104
13,25.768,5.967
14,-0.684,21.105
15,3.387,17.81
16,32.986,3.412
17,34.258,9.931
18,6.313,29.426
19,33.899,37.535
20,4.718,12.125
21,21.054,5.067
22,3.267,21.911
23,24.537,38.822
24,4.55,16.179
25,25.712,7.409
26,3.884,28.616
27,29.081,34.539
28,14.943,23.263
29,32.169,45.421
30,32.572,16.944
31,33.673,13.163
32,29.189,13.226
33,25.994,34.444
34,16.513,23.396
35,23.492,11.142
36,26.878,36.609
37,31.604,36.911
38,34.078,33.827
39,11.286,16.082
40,30.15,9.642
41,36.569,45.827
42,3.983,11.839
43,12.891,23.832
44,21.314,13.264
45,29.101,44.781
46,30.671,9.294
47,35.139,9.803
48,35.563,42.759
49,35.028,15.779
50,9.776,16.988
51,24.268,5.693
52,-0.36,15.319
53,33.062,47.693
54,21.034,37.463
55,31.806,4.484
56,22.493,39.466
57,29.056,46.004
58,29.822,13.83
59,35.439,14.439
